ListPrice,SalePrice,Age,Living,Lot,Tax,Bathrooms,Bedrooms,Garage,Story,CitySewer,eastUS1,Pool
640000,608000,51,2792,7500,6007,2,3,2,1,yes,yes,no
725000,670000,53,2793,17375,8700,4,4,1,1,no,no,yes
749000,735000,72,2800,13000,8516,3,3,0,2,yes,no,no
999000,973000,48,2806,13362,7654,3,4,2,1,yes,no,yes
595000,595000,53,2807,10570,7822,3,3,1,1,no,yes,yes
750000,725000,44,2816,12500,8399,3,3,1,1,no,no,no
600000,505000,76,2825,7290,5749,2,4,0,2,no,no,no
725000,690000,70,2825,10625,7219,5,5,2,1,no,no,yes
610000,595000,28,2834,11550,6677,3,4,2,1,no,yes,yes
585000,555325,48,2835,15000,5338,2,3,2,1,no,yes,no
549900,492500,44,2836,12100,6510,3,3,2,1,yes,yes,yes
650000,635000,51,2857,10000,6180,3,3,2,1,no,yes,no
589000,530000,51,2858,13791,7568,3,5,2,1,yes,yes,yes
498000,485000,41,2861,10000,5911,3,4,2,1,yes,no,yes
719000,685000,49,2865,8910,6391,3,4,2,1,no,yes,yes
568000,550000,74,2866,12500,6655,2,3,2,2,no,no,no
499000,480000,78,2870,5650,1973,2,4,0,2,yes,no,no
679000,680000,46,2888,12500,6815,3,4,1,1,no,yes,yes
575000,557500,51,2898,10000,6499,3,4,2,1,no,yes,no
549000,525000,51,2899,10600,7517,4,3,0,1,no,yes,yes
699000,695000,48,2901,13400,9809,4,3,2,1,no,yes,yes
599900,584000,45,2905,12330,6310,3,3,2,1,yes,no,yes
539000,523000,53,2916,15000,6139,3,4,1,1,no,no,no
750000,713000,50,2925,13000,10769,4,3,2,1,no,no,yes
625000,600000,48,2931,12000,5024,3,4,2,1,no,yes,yes
750000,725000,48,2937,10600,6628,3,3,2,1,yes,yes,yes
629000,600000,50,2940,10015,5236,4,4,2,1,no,yes,no
715000,715000,67,2947,16500,8304,3,5,0,2,no,no,yes
599500,580000,20,2955,6250,5201,3,4,2,2,no,yes,yes
729000,718000,51,2964,1100,8429,4,3,1,1,no,yes,no
639000,620000,52,2965,10000,6384,3,3,2,1,yes,no,no
689000,650000,52,3000,9375,4885,4,4,1,1,yes,yes,yes
649000,634000,76,3010,6000,3388,3,3,1,2,no,yes,no
520000,502000,49,3010,10000,4958,3,4,1,1,no,yes,no
719000,675000,51,3023,10000,6053,3,4,2,1,no,yes,yes
599000,555000,16,3024,7500,5174,3,5,1,2,no,no,yes
860000,815000,37,3050,13100,5279,4,5,1,1,no,no,yes
775000,775000,77,3052,13000,7306,3,5,1,2,yes,no,no
395000,435000,31,3072,10800,7071,4,4,0,1,no,no,no
840000,840000,62,3074,12500,8743,4,4,2,1,no,no,yes
